forecast_date,city_id,temp,humidity,wind_speed,rain_prob,description,date_extraction
2020-08-24,2,20.7,48.9,20.4,0.0,Partly cloudy throughout the day.,2020-08-23
2020-08-25,2,22.9,44.6,20.2,0.0,Partly cloudy throughout the day.,2020-08-24
2020-08-26,2,23.9,48.1,19.2,0.0,Partly cloudy throughout the day.,2020-08-25
2020-08-27,2,23.3,48.9,11.8,0.0,Becoming cloudy in the afternoon.,2020-08-26
2020-08-28,2,18.7,75.0,19.2,100.0,Partly cloudy throughout the day with rain.,2020-08-27
2020-08-29,2,17.7,74.4,14.2,100.0,Cloudy skies throughout the day with rain clearing later.,2020-08-28
2020-08-30,2,17.0,63.4,17.3,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-08-29
2020-08-31,2,16.6,69.5,24.5,100.0,Partly cloudy throughout the day with morning rain.,2020-08-30
2020-09-01,2,17.6,59.9,21.0,0.0,Partly cloudy throughout the day.,2020-08-31
2020-09-02,2,18.4,59.7,22.7,0.0,Partly cloudy throughout the day.,2020-09-01
2020-09-03,2,19.0,50.9,12.1,0.0,Partly cloudy throughout the day.,2020-09-02
2020-09-04,2,22.3,47.4,23.3,0.0,Clear conditions throughout the day.,2020-09-03
2020-09-05,2,24.1,44.3,22.9,0.0,Clear conditions throughout the day.,2020-09-04
2020-09-06,2,18.8,55.8,24.9,0.0,Partly cloudy throughout the day.,2020-09-05
2020-09-07,2,18.0,50.5,33.6,0.0,Becoming cloudy in the afternoon.,2020-09-06
2020-09-08,2,19.0,51.9,11.9,0.0,Clear conditions throughout the day.,2020-09-07
2020-09-09,2,20.5,55.2,7.1,0.0,Becoming cloudy in the afternoon.,2020-09-08
2020-09-10,2,22.3,53.3,20.1,0.0,Partly cloudy throughout the day.,2020-09-09
2020-09-11,2,22.7,55.6,18.1,0.0,Partly cloudy throughout the day.,2020-09-10
2020-09-12,2,22.3,50.8,16.2,0.0,Partly cloudy throughout the day.,2020-09-11
2020-09-13,2,23.2,48.5,15.0,0.0,Clear conditions throughout the day.,2020-09-12
2020-09-14,2,25.3,53.2,20.2,0.0,Clear conditions throughout the day.,2020-09-13
2020-09-15,2,26.2,46.0,15.4,0.0,Partly cloudy throughout the day.,2020-09-14
2020-09-16,2,24.7,52.1,18.8,0.0,Clear conditions throughout the day.,2020-09-15
2020-09-17,2,24.2,51.8,12.4,0.0,Clear conditions throughout the day.,2020-09-16
2020-09-18,2,24.6,52.6,28.7,0.0,Becoming cloudy in the afternoon.,2020-09-17
2020-09-19,2,22.5,64.6,30.7,100.0,Partly cloudy throughout the day with rain.,2020-09-18
2020-09-20,2,19.5,79.1,10.8,100.0,Partly cloudy throughout the day with a chance of rain throughout the day.,2020-09-19
2020-09-21,2,19.6,80.7,12.5,100.0,Cloudy skies throughout the day with rain.,2020-09-20
2020-09-22,2,19.3,78.6,14.5,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-09-21
